,year,DirectorID,CompanyID
83836,2010,36566,1
83837,2010,36569,2
83838,2010,36572,1
83839,2010,36604,4
83840,2010,36610,4
83841,2010,36614,2
83842,2010,36615,6
83843,2010,36617,3
83845,2010,36630,1
83846,2010,36632,4
83847,2010,36637,2
83848,2010,36649,2
83849,2010,36656,1
83850,2010,36666,2
83851,2010,36669,6
83852,2010,36670,4
83853,2010,36679,2
83855,2010,36687,2
83856,2010,36690,2
83857,2010,36691,3
83858,2010,36702,2
83859,2010,36703,6
83860,2010,36710,6
83861,2010,36714,6
83862,2010,36718,6
83863,2010,36719,1
83864,2010,36723,2
83866,2010,36757,2
83868,2010,36786,1
83869,2010,36799,6
83871,2010,36802,4
83873,2010,36818,6
83874,2010,36824,1
83875,2010,36839,6
83878,2010,36850,2
83879,2010,36855,6
83880,2010,36856,2
83881,2010,36857,4
83882,2010,36859,6
83883,2010,36862,4
83884,2010,36869,2
83885,2010,36871,2
83888,2010,36883,6
83889,2010,36903,1
83890,2010,36907,1
83891,2010,36911,2
83892,2010,36928,2
83893,2010,36929,2
83894,2010,36971,5
83895,2010,36976,6
83896,2010,37006,2
83897,2010,37086,6
83898,2010,37111,6
83899,2010,37131,2
83900,2010,37206,6
83901,2010,37216,2
83902,2010,37251,2
83903,2010,37261,6
83904,2010,37271,2
83905,2010,37276,2
83906,2010,37326,2
83907,2010,37336,4
83908,2010,37361,1
83909,2010,37376,2
83910,2010,37471,1
83911,2010,37576,4
83912,2010,37586,2
83913,2010,37611,1
83914,2010,37616,1
83915,2010,37671,2
83916,2010,37691,2
83917,2010,37726,2
83918,2010,37801,6
83919,2010,37851,6
83920,2010,37856,2
83921,2010,37881,1
83922,2010,37961,2
83923,2010,38021,6
83924,2010,38066,2
83925,2010,38096,2
83926,2010,38116,1
83927,2010,38136,2
83928,2010,38141,6
83930,2010,38171,1
83931,2010,38181,1
83932,2010,38221,2
83933,2010,38276,2
83934,2010,38291,1
83935,2010,38401,4
83936,2010,38486,1
83937,2010,38546,4
83938,2010,38566,4
83939,2010,38586,2
83940,2010,38656,2
83941,2010,38676,6
83942,2010,38681,2
83943,2010,38686,6
83944,2010,38761,1
83945,2010,38771,6
83946,2010,38811,2
83947,2010,38881,2
83948,2010,38891,1
83949,2010,38926,1
83950,2010,38966,2
83951,2010,38976,1
83953,2010,39046,2
83955,2010,39091,6
83956,2010,39101,1
83957,2010,39136,4
83958,2010,39151,2
83960,2010,39286,6
83961,2010,39426,4
83962,2010,39441,1
83963,2010,39481,2
83964,2010,39521,2
83965,2010,39641,2
83966,2010,39691,2
83967,2010,39706,2
83968,2010,39721,2
83969,2010,39736,2
83970,2010,39796,2
83971,2010,39806,1
83972,2010,39871,1
83973,2010,39886,1
83975,2010,39996,6
83976,2010,40041,2
83978,2010,40126,2
83979,2010,40131,1
83980,2010,40196,2
83982,2010,40326,8
83983,2010,40426,2
83984,2010,40431,1
83985,2010,40436,1
83987,2010,40511,6
83988,2010,40521,6
83989,2010,40736,1
83990,2010,40751,6
83991,2010,40766,4
83993,2010,40831,2
83994,2010,40836,2
83995,2010,40861,1
83996,2010,40886,1
83997,2010,41056,4
83998,2010,41076,6
83999,2010,41216,6
84000,2010,41301,1
84001,2010,41311,6
84002,2010,41336,1
84003,2010,41361,3
84004,2010,41376,1
84005,2010,41421,1
84006,2010,41441,6
84007,2010,41446,6
84008,2010,41466,2
84009,2010,41481,2
84010,2010,41506,2
84011,2010,41541,6
84012,2010,41691,6
84013,2010,41711,4
84014,2010,41731,1
84015,2010,41751,2
84016,2010,41786,2
84017,2010,41891,2
84018,2010,41901,8
84019,2010,41921,4
84020,2010,42011,2
84021,2010,42106,4
84022,2010,42241,1
84023,2010,42286,4
84025,2010,42401,2
84026,2010,42436,6
84027,2010,42451,2
84028,2010,42461,1
84029,2010,42496,3
84030,2010,42506,4
84031,2010,42531,2
84032,2010,42571,1
84033,2010,42836,4
84034,2010,42891,6
84035,2010,42901,2
